MIN;AVG;MAX
3;194;279
18;257;299
84;240;292
169;261;295
176;258;291
144;260;295
181;261;294
179;261;292
176;262;293
157;258;295
171;262;294
175;261;295
186;265;294
171;263;294
171;262;292
185;264;294
134;263;293
184;263;294
153;257;291
47;250;296
172;262;296
172;263;296
175;265;294
171;264;294
168;263;293
176;265;295
172;262;291
173;264;292
176;263;296
178;262;295
177;263;291
176;264;294
165;263;291
182;264;292
181;262;291
180;262;292
186;262;292
175;265;292
182;263;294
170;262;295
184;263;292
167;263;293
177;264;295
181;265;291
136;256;292
157;249;289
164;244;289
43;256;294
164;264;293
150;259;293
57;266;296
181;267;294
174;267;297
190;268;296
184;266;294
163;267;296
178;267;298
184;267;294
177;266;295
180;266;298
180;267;295
175;266;294
185;267;297
