MIN;AVG;MAX
3;18;50
8;13;14
14;14;14
14;14;14
13;14;14
12;14;14
14;14;14
14;14;14
14;14;14
13;14;14
14;14;14
14;14;14
14;14;14
13;14;14
13;14;14
14;14;14
14;14;14
14;14;14
14;14;15
14;14;14
14;14;14
14;14;14
13;14;14
14;14;14
13;14;14
14;14;15
14;14;14
14;14;14
14;14;14
14;14;14
13;14;14
14;14;15
14;14;14
14;14;14
14;14;14
14;14;14
14;14;14
14;14;15
13;14;14
14;14;14
14;14;14
13;14;14
14;14;14
14;14;14
14;14;14
14;14;14
14;14;14
13;14;14
14;14;14
14;14;14
14;14;15
14;14;14
14;14;14
14;14;14
14;14;14
